name,headline,current_title,current_company,skills,location,years_experience,currently_open_to_work,github_handle,profile_url,certifications,open_source_contributor,volunteer_experience,education_level
Candidate-0024,"Dedicated Security Engineer with a strong background in cybersecurity, risk assessment, and incident response. Skilled in penetration testing and security audits.",Security Engineer,Adams-English,azure;c#;c++;flask;mongodb;oracle;python,"East Jamesberg, Jamaica",3.0,,github.com/griffithstephen,linkedin.com/in/schmidtcheyenne,,,,MSc
Candidate-0025,"Computer Vision Engineer specializing in image processing, object detection, and video analytics. Experienced in OpenCV, TensorFlow, and deep learning models.",Computer Vision Engineer,"Price, Williams and Solis",c#;c++;django;google cloud;mongodb;oracle;python;react;spring,"Port Rubenland, Tunisia",6.0,,github.com/leslie84,linkedin.com/in/gonzaleztracy,,,,MSc
Candidate-0026,"Experienced Python Developer with a strong background in building scalable web applications and data pipelines. Proficient in Django, Flask, and RESTful API design.",Python Developer,Mccann-Webb,c#;google cloud;javascript;node.js;python;redis,"Michaelbury, Ethiopia",2.0,,github.com/chase54,linkedin.com/in/jgraham,,,,MSc
Candidate-0027,"Creative iOS Developer with a focus on building elegant and user-friendly applications for Apple devices. Proficient in Swift, Xcode, and iOS SDK.",Ios Developer,Hess-Mejia,angular;aws;java;node.js;oracle;react;swift,"East Kathyview, Australia",7.0,,github.com/traceymendoza,linkedin.com/in/jimmy62,,,,MSc
Candidate-0028,"Innovative Android Developer with a passion for mobile app development and user experience design. Skilled in Java, Kotlin, and Android Studio.",Android Developer,"Waters, Meyer and Jackson",azure;c#;django;go;java;javascript;mysql;node.js;vue,"Davidshire, Guyana",5.0,,github.com/troy25,linkedin.com/in/randyspencer,,,,BSc
Candidate-0029,,Java Web Developer,Salcluster Technologies,hibernate;java;javascript;spring;struts,"Amravati, India",,,,,,,,MCA
Candidate-0030,"AI Engineer with expertise in artificial intelligence, machine learning, and deep learning. Skilled in Python, TensorFlow, and developing AI-powered applications.",Ai Engineer,Hart LLC,c#;google cloud;node.js;oracle;python;react;redis;vue,"Lake Michaelborough, Congo",5.0,,github.com/angela11,linkedin.com/in/parsonsdavid,,,,BSc
Candidate-0031,"Passionate Deep Learning Engineer with expertise in neural network design, training, and optimization. Skilled in TensorFlow, PyTorch, and computer vision.",Deep Learning Engineer,"Patel, Smith and Armstrong",c#;google cloud;java;mysql;node.js;python;redis;vue,"Cherylburgh, Venezuela",5.0,,github.com/gonzalesjamie,linkedin.com/in/jamesmartinez,,,,BSc
Candidate-0032,"NLP Engineer with experience in natural language processing, text classification, and sentiment analysis. Skilled in Python, TensorFlow, and NLP libraries like NLTK and spaCy.",Nlp Engineer,Cummings and Sons,aws;mongodb;oracle;python;react;ruby,"Port Micheal, Gambia",3.0,,github.com/olevine,linkedin.com/in/fwalker,,,,MSc
Candidate-0033,Read decision yet deep arrive. Foreign ball personal we.,Database Engineer,Burnett and Sons,google cloud;java;javascript;mongodb;node.js;python;redis;sql,"Petersonfort, Syrian Arab Republic",4.0,,github.com/davidpugh,linkedin.com/in/adamsryan,,,,BSc
Candidate-0034,"Site Reliability Engineer with expertise in maintaining high-availability systems and automating infrastructure. Skilled in Docker, Kubernetes, and cloud services.",Site Reliability Engineer,Briggs-Mayo,aws;c++;java;node.js;postgresql;vue,"North Jonathanfort, Portugal",6.0,,github.com/joyce17,linkedin.com/in/lawrencelopez,,,,BSc
Candidate-0035,Technical Architect with a focus on designing complex software systems and defining technical requirements. Skilled in cloud architecture and system integration.,Technical Architect,"Castillo, Morrison and Obrien",angular;azure;c#;c++;flask;java;mongodb;python;vue,"Port Laura, Jamaica",4.0,,github.com/alexandra66,linkedin.com/in/james09,,,,BSc
Candidate-0036,"Creative Mobile Developer specializing in iOS and Android app development. Proficient in Swift, Java, and React Native, with a focus on user-centric design principles.",Mobile Developer,"Allen, Young and Roman",azure;c++;django;go;java;javascript;mongodb;node.js;spring,"Rodneyview, Guernsey",4.0,,github.com/rosejessica,linkedin.com/in/brownrobert,,,,BSc
Candidate-0037,"AI Engineer with expertise in artificial intelligence, machine learning, and deep learning. Skilled in Python, TensorFlow, and developing AI-powered applications.",Ai Engineer,Hall-Leach,angular;django;google cloud;javascript;mysql;postgresql;python;ruby,"New Davidview, Tuvalu",5.0,,github.com/laurie78,linkedin.com/in/kramermichael,,,,MSc
Candidate-0038,"Dedicated Security Engineer with a strong background in cybersecurity, risk assessment, and incident response. Skilled in penetration testing and security audits.",Security Engineer,"Weaver, Kim and Ryan",aws;java;mysql;node.js;postgresql;python;ruby,"North Carla, Pitcairn Islands",6.0,,github.com/caitlin97,linkedin.com/in/karmstrong,,,,BSc
Candidate-0039,"NLP Engineer with experience in natural language processing, text classification, and sentiment analysis. Skilled in Python, TensorFlow, and NLP libraries like NLTK and spaCy.",Nlp Engineer,"Ortega, Ortiz and Pearson",angular;aws;c#;django;flask;mongodb;python;redis,"Davisfurt, Cape Verde",6.0,,github.com/derek14,linkedin.com/in/wesleysmith,,,,BSc
Candidate-0040,"Experienced Python Developer with a strong background in building scalable web applications and data pipelines. Proficient in Django, Flask, and RESTful API design.",Python Developer,Garcia LLC,aws;c#;flask;java;mongodb;mysql;python;ruby;vue,"Glassstad, Egypt",2.0,,github.com/james25,linkedin.com/in/jason90,,,,BSc
Candidate-0041,"Cybersecurity Engineer with a strong background in network security, threat detection, and incident response. Skilled in penetration testing and security audits.",Cybersecurity Engineer,"Howell, Jones and Lucero",flask;go;google cloud;node.js;oracle;python;redis,"North Marciaton, Reunion",6.0,,github.com/vkoch,linkedin.com/in/cristian59,,,,BSc
Candidate-0042,Hardworking Java Developer enthusiastic about working with multicultural teams. Having 2 years of experience in working with a Payment Gateway Solutions provider with Core Java.,Java Developer,Aurus Tech Pvt. Ltd,advanced java;derby;eclipse (oxygen);java;linux (centos 6.6);mysql;oracle;putty;sonarqube;windows,,,,,,,,,Bachelor of Engineering
Candidate-0043,DevOps Engineer with software proficiency in various languages and tools.,DevOps Engineer,Parkar Consulting and Labs,aws;c;css;hibernate;html;java;javaee;javascript;jquery;mysql;pl/sql;python;spring;sql,"Pune, India",,,,,,,,B.E.
Candidate-0044,Push name executive wait. Decade interesting story how cover. Brother final building best. Effect door source investment with.,React Developer,"Watts, Martinez and Howe",aws;django;java;mongodb;react;spring,"Tracieberg, Czech Republic",3.0,,github.com/jenniferharvey,linkedin.com/in/caguilar,,,,MSc
Candidate-0045,"Data Engineer with a focus on ETL processes, data pipelines, and data warehousing. Skilled in Python, SQL, and big data technologies like Hadoop and Spark.",Data Engineer,"Hampton, Figueroa and Lopez",aws;flask;javascript;node.js;python;redis;ruby,"West Patriciamouth, Egypt",3.0,,github.com/sarajones,linkedin.com/in/floresphillip,,,,BSc
Candidate-0046,Interview boy themselves sense enter box. Local may type religious. Miss pass forward assume. Any on part voice idea cell best whole.,Software Engineer,Rios-Schultz,azure;java;mongodb;python;spring,"West Nicholasburgh, Cameroon",3.0,,github.com/kingjoseph,linkedin.com/in/pdickerson,,,,MSc
Candidate-0047,"Computer Vision Engineer specializing in image processing, object detection, and video analytics. Experienced in OpenCV, TensorFlow, and deep learning models.",Computer Vision Engineer,Melendez-Smith,angular;aws;c#;go;mongodb;mysql;python,"East Katherinemouth, Guatemala",4.0,,github.com/sheila99,linkedin.com/in/wallerkeith,,,,MSc
Candidate-0048,"Creative Mobile Developer specializing in iOS and Android app development. Proficient in Swift, Java, and React Native, with a focus on user-centric design principles.",Mobile Developer,Vaughn-Valdez,angular;aws;c++;go;java;javascript;mongodb;oracle;react,"Port Dennis, Bosnia and Herzegovina",5.0,,github.com/wrose,linkedin.com/in/suelong,,,,BSc
Candidate-0049,"NLP Engineer with experience in natural language processing, text classification, and sentiment analysis. Skilled in Python, TensorFlow, and NLP libraries like NLTK and spaCy.",Nlp Engineer,Smith and Sons,azure;javascript;oracle;python;redis;vue,"Kennethberg, Belize",3.0,,github.com/michelle63,linkedin.com/in/tapiadennis,,,,MSc
Candidate-0050,"Analytical Data Scientist with a passion for machine learning, statistical analysis, and data-driven decision making. Experienced with Python, R, and modern data visualization tools.",Data Scientist,"Vaughn, Bryant and Irwin",c++;flask;google cloud;mongodb;mysql;python,"West Laura, Palestinian Territory",5.0,,github.com/sbeasley,linkedin.com/in/joneskristopher,,,,MSc
Candidate-0051,"Automation Engineer with expertise in designing and implementing automated test scripts and CI/CD pipelines. Skilled in Python, Selenium, and test automation frameworks.",Automation Engineer,Moore Inc,flask;go;google cloud;mongodb;postgresql;python;spring;vue,"Port Jeffery, Gibraltar",5.0,,github.com/croberts,linkedin.com/in/mayodouglas,,,,MSc
Candidate-0052,Finish table through girl worker. Fall top reduce central policy rate.,Vue Developer,Porter PLC,c#;google cloud;java;node.js;redis;ruby;vue,"North James, Slovenia",7.0,,github.com/pford,linkedin.com/in/nguyenrobert,,,,BSc
Candidate-0053,NoSQL Developer with experience in managing and scaling NoSQL databases like MongoDB and DynamoDB. Proficient in JavaScript and database optimization.,Nosql Developer,Rogers Ltd,angular;google cloud;node.js;nosql;oracle;ruby;vue,"West Michael, New Caledonia",2.0,,github.com/navarrodenise,linkedin.com/in/brian45,,,,BSc
Candidate-0054,"MLOps Engineer with a strong background in machine learning model deployment, monitoring, and optimization. Skilled in Docker, Kubernetes, and CI/CD pipelines.",Mlops Engineer,Davis-Williams,c#;go;google cloud;oracle;postgresql;python;ruby;spring,"Hamiltonland, Azerbaijan",1.0,,github.com/gordonamy,linkedin.com/in/hartbenjamin,,,,BSc
Candidate-0055,Imagine buy serious learn yourself dinner physical. Later lose already ever at list. Work thank author plan including try billion drive.,React Developer,Harris-Smith,azure;c#;oracle;react;spring,"Brandonfurt, Lao People's Democratic Republic",2.0,,github.com/lindasmith,linkedin.com/in/currymichelle,,,,MSc
Candidate-0056,"Analytical Data Scientist with a passion for machine learning, statistical analysis, and data-driven decision making. Experienced with Python, R, and modern data visualization tools.",Data Scientist,Obrien LLC,aws;javascript;oracle;python;ruby;vue,"Williamsonhaven, Israel",5.0,,github.com/jonesrobert,linkedin.com/in/davisemily,,,,BSc
Candidate-0057,Devops Engineer with experience in various DevOps methodologies and tools.,Devops Engineer,Nendrasys Technologies Pvt Ltd,c;core java,"Hyderabad, India",,,,,,,,Masters
Candidate-0058,"SQL Developer specializing in writing optimized SQL queries and database management. Skilled in database design, normalization, and performance tuning.",Sql Developer,"Williams, Mckenzie and Brown",aws;django;flask;go;oracle;sql,"South Cherylside, Wallis and Futuna",5.0,,github.com/bentleysusan,linkedin.com/in/parkersteven,,,,MSc
Candidate-0059,"Flutter Developer specializing in mobile app development and user experience design. Skilled in Dart, Flutter SDK, and cross-platform development.",Flutter Developer,"Burnett, Carter and Martinez",azure;dart;go;postgresql;spring;vue,"West Sarah, Holy See (Vatican City State)",4.0,,github.com/vroman,linkedin.com/in/fho,,,,MSc
Candidate-0060,Chair board night country sound. Over deal forget these tough set.,Software Engineer,"Smith, Li and Baker",azure;c#;java;oracle;postgresql;python;vue,"South Laurie, Pitcairn Islands",3.0,,github.com/yvonnelane,linkedin.com/in/richard73,,,,MSc
Candidate-0061,NoSQL Developer with experience in managing and scaling NoSQL databases like MongoDB and DynamoDB. Proficient in JavaScript and database optimization.,Nosql Developer,"Shah, Turner and Rodriguez",aws;go;javascript;mysql;nosql;python;vue,"West Mark, Venezuela",4.0,,github.com/gonzalezalicia,linkedin.com/in/davidbryant,,,,BSc
Candidate-0062,Company generation pick them size then. Perhaps until cold attention. Clearly learn popular.,Software Engineer,White-Jordan,angular;aws;c#;flask;mysql;node.js;python;redis,"South Robertburgh, Saudi Arabia",5.0,,github.com/lanejoseph,linkedin.com/in/billy59,,,,BSc
Candidate-0063,Technical Architect with a focus on designing complex software systems and defining technical requirements. Skilled in cloud architecture and system integration.,Technical Architect,"Wu, Orozco and Hurst",aws;flask;go;javascript;mongodb;oracle;python;ruby,"Port Jasonchester, Colombia",6.0,,github.com/lisa07,linkedin.com/in/patriciagolden,,,,MSc
Candidate-0064,"Full-Stack Developer proficient in both front-end and back-end development. Skilled in React and Django, creating complete web applications.",Full Stack Developer,Lin-Solis,azure;flask;java;javascript;postgresql;python;react;redis,"North Tamara, Cook Islands",4.0,,github.com/johnsonkayla,linkedin.com/in/thompsoncheryl,,,,BSc
Candidate-0065,Database Administrator skilled in optimizing SQL queries and maintaining database health through regular backups and maintenance.,Database Administrator,"Cole, Vaughn and Diaz",google cloud;java;node.js;postgresql;react;sql;vue,"Daychester, British Virgin Islands",7.0,,github.com/kmason,linkedin.com/in/pereztheresa,,,,MSc
Candidate-0066,"Kubernetes Engineer with experience in container orchestration and managing Kubernetes clusters. Skilled in Docker, Kubernetes, and cloud services.",Kubernetes Engineer,Wilson LLC,angular;c#;google cloud;javascript;mysql,"Adriennebury, Pitcairn Islands",4.0,,github.com/mcguiretimothy,linkedin.com/in/fjohnson,,,,BSc
Candidate-0067,Picture arrive method people back school. Energy production certain want economy every hundred. Determine attention reflect enjoy. Member not summer business.,Angular Developer,"Kelley, Price and Martinez",angular;c++;flask;google cloud;mysql,"Stefaniemouth, Tokelau",6.0,,github.com/andrew66,linkedin.com/in/jeffreyallen,,,,BSc
Candidate-0068,"Results-driven DevOps Engineer with proven expertise in cloud infrastructure, automation, and continuous integration. Skilled in AWS, Docker, and Kubernetes.",Devops Engineer,"Maldonado, Pugh and Smith",aws;azure;c++;javascript;oracle;python;react;redis;spring,"West Lori, Reunion",4.0,,github.com/yangjenna,linkedin.com/in/andreaperkins,,,,MSc
Candidate-0069,Political record information soon she simple against memory. Perhaps take see want land response remember.,Machine Learning Engineer,Herrera and Sons,aws;go;java;oracle;python;react;redis,"South Amandaland, Zimbabwe",4.0,,github.com/deborahwilliams,linkedin.com/in/davenportelizabeth,,,,MSc
Candidate-0070,"React Native Developer specializing in cross-platform mobile app development. Proficient in React, JavaScript, and building high-performance mobile applications.",React Native Developer,"Lopez, Mccormick and Melton",aws;c++;postgresql;react;react native;redis,"West Nicholasborough, Paraguay",3.0,,github.com/allison39,linkedin.com/in/adamscrystal,,,,MSc
Candidate-0071,"Cybersecurity Engineer with a strong background in network security, threat detection, and incident response. Skilled in penetration testing and security audits.",Cybersecurity Engineer,"Gilbert, Page and Wood",c#;c++;google cloud;mysql;python;redis;spring,"Dunnborough, Netherlands Antilles",6.0,,github.com/hjones,linkedin.com/in/lsmith,,,,BSc
Candidate-0072,"React Native Developer specializing in cross-platform mobile app development. Proficient in React, JavaScript, and building high-performance mobile applications.",React Native Developer,Baker LLC,aws;java;mongodb;react;react native;ruby;vue,"Sanchezchester, Liberia",4.0,,github.com/meghanbrown,linkedin.com/in/xcruz,,,,BSc
Candidate-0073,"Analytical Data Scientist with a passion for machine learning, statistical analysis, and data-driven decision making. Experienced with Python, R, and modern data visualization tools.",Data Scientist,"Griffin, Gibson and Clark",django;google cloud;java;mongodb;postgresql;python;ruby,"Clarkview, Costa Rica",3.0,,github.com/lawrencecassandra,linkedin.com/in/millerchristie,,,,BSc
Candidate-0074,Database Administrator skilled in optimizing SQL queries and maintaining database health through regular backups and maintenance.,Database Administrator,Washington-Gilmore,angular;flask;google cloud;java;javascript;oracle;postgresql;sql;vue,"New Dawn, Norfolk Island",6.0,,github.com/nicolehowe,linkedin.com/in/bfreeman,,,,MSc
Candidate-0075,"Passionate Deep Learning Engineer with expertise in neural network design, training, and optimization. Skilled in TensorFlow, PyTorch, and computer vision.",Deep Learning Engineer,Walker Group,aws;c#;flask;javascript;mysql;node.js;python,"Noblehaven, Sao Tome and Principe",4.0,,github.com/ssanchez,linkedin.com/in/qbishop,,,,BSc
Candidate-0076,"Site Reliability Engineer with expertise in maintaining high-availability systems and automating infrastructure. Skilled in Docker, Kubernetes, and cloud services.",Site Reliability Engineer,"Woodward, Young and Bailey",django;google cloud;java;javascript;oracle,"Petersberg, Suriname",4.0,,github.com/fieldsjustin,linkedin.com/in/david03,,,,BSc
Candidate-0077,"Flutter Developer specializing in mobile app development and user experience design. Skilled in Dart, Flutter SDK, and cross-platform development.",Flutter Developer,Mckay-Washington,dart;django;google cloud;oracle;python;ruby,"Parkerport, Zimbabwe",4.0,,github.com/valerie71,linkedin.com/in/linda96,,,,MSc
Candidate-0078,"Cybersecurity Engineer with a strong background in network security, threat detection, and incident response. Skilled in penetration testing and security audits.",Cybersecurity Engineer,Johnson-Blackburn,angular;azure;django;go;java;mongodb;node.js;python;ruby,"Lake Kathryn, Mozambique",6.0,,github.com/amy99,linkedin.com/in/williamschneider,,,,MSc
Candidate-0079,"Innovative Android Developer with a passion for mobile app development and user experience design. Skilled in Java, Kotlin, and Android Studio.",Android Developer,"White, Wright and White",azure;c++;django;java;mysql;redis;spring;vue,"North Jilliantown, Saint Helena",4.0,,github.com/smithzachary,linkedin.com/in/danielle26,,,,BSc
Candidate-0080,Manager college adult lose. Size rich position bed carry. Deal former act.,Frontend Developer,"Wilson, Gonzales and Myers",angular;azure;c++;flask;javascript;mysql;react;redis;spring,"Lake Ethan, Cote d'Ivoire",6.0,,github.com/jessicabenson,linkedin.com/in/stephen57,,,,BSc
Candidate-0081,"Quality Assurance Engineer with extensive experience in testing web applications, identifying bugs, and ensuring software quality. Skilled in test automation and bug tracking tools.",Qa Engineer,Stewart-Stafford,angular;go;google cloud;mysql;oracle;python;react;spring,"East Amanda, Seychelles",6.0,,github.com/donna84,linkedin.com/in/michael65,,,,MSc
Candidate-0082,"Passionate Deep Learning Engineer with expertise in neural network design, training, and optimization. Skilled in TensorFlow, PyTorch, and computer vision.",Deep Learning Engineer,"Clark, Jones and Carpenter",azure;c++;flask;go;mysql;oracle;python,"South Tracy, South Georgia and the South Sandwich Islands",4.0,,github.com/justinsantos,linkedin.com/in/ljones,,,,MSc
Candidate-0083,Mean head want common expect. Discover watch necessary pretty situation. Because again point see.,Software Engineer,Stevens Inc,c++;django;google cloud;mongodb;oracle;python;ruby,"Hallbury, Pakistan",5.0,,github.com/nicole40,linkedin.com/in/hernandezjohn,,,,MSc
Candidate-0084,"Full-Stack Developer proficient in both front-end and back-end development. Skilled in React and Django, creating complete web applications.",Full Stack Developer,"Cox, White and Kim",azure;flask;go;javascript;oracle;postgresql;python;react;ruby,"Jodystad, Angola",3.0,,github.com/marcus76,linkedin.com/in/cochranmichelle,,,,BSc
Candidate-0085,"AI Engineer with expertise in artificial intelligence, machine learning, and deep learning. Skilled in Python, TensorFlow, and developing AI-powered applications.",Ai Engineer,Stephens LLC,azure;c#;flask;go;python;redis,"Donnafurt, Netherlands",6.0,,github.com/michellewilliams,linkedin.com/in/johndavis,,,,BSc
Candidate-0086,"Dedicated Security Engineer with a strong background in cybersecurity, risk assessment, and incident response. Skilled in penetration testing and security audits.",Security Engineer,Manning PLC,angular;aws;c++;java;javascript;node.js;python;react;redis,"New Johnbury, Finland",4.0,,github.com/angelasharp,linkedin.com/in/ashley84,,,,BSc
Candidate-0087,"Cybersecurity Engineer with a strong background in network security, threat detection, and incident response. Skilled in penetration testing and security audits.",Cybersecurity Engineer,"Horn, Alexander and Sullivan",azure;c++;django;go;mongodb;postgresql;python;ruby,"South Bethtown, Gibraltar",4.0,,github.com/luisblake,linkedin.com/in/hfrederick,,,,BSc
Candidate-0088,Innovative JavaScript Developer with extensive experience in front-end frameworks and building interactive user interfaces using React and Angular.,Javascript Developer,Brown PLC,angular;c++;django;google cloud;java;javascript;mysql;node.js;postgresql,"New Rachel, South Georgia and the South Sandwich Islands",4.0,,github.com/darindavidson,linkedin.com/in/kathymartin,,,,MSc
Candidate-0089,"Cybersecurity Engineer with a strong background in network security, threat detection, and incident response. Skilled in penetration testing and security audits.",Cybersecurity Engineer,"Hall, Watson and Mosley",django;google cloud;javascript;oracle;python;react,"Jacobsstad, Israel",6.0,,github.com/julianford,linkedin.com/in/rebecca82,,,,MSc
Candidate-0090,"Creative iOS Developer with a focus on building elegant and user-friendly applications for Apple devices. Proficient in Swift, Xcode, and iOS SDK.",Ios Developer,Murphy Ltd,c#;go;google cloud;javascript;node.js;postgresql;swift;vue,"South Christine, Mauritania",2.0,,github.com/uford,linkedin.com/in/chavezdebbie,,,,BSc
Candidate-0091,,Java Developer,Inouvelle Ventures Private Limited,c;c++;functional testing;hibernate;j2ee;java;linux;manual testing;ms office;mysql;postgresql;spring;windows,"Nagpur, India",9.0,,,,,,,B.E
Candidate-0092,"Cloud Engineer with expertise in AWS cloud services, including EC2, S3, Lambda, and VPCs. Proficient in designing and deploying scalable applications in the cloud.",Cloud Engineer,"Kline, Tran and Collins",angular;aws;django;go;google cloud;javascript;mysql;spring,"Danielborough, Andorra",4.0,,github.com/oschroeder,linkedin.com/in/upratt,,,,MSc
Candidate-0093,"Data Engineer with a focus on ETL processes, data pipelines, and data warehousing. Skilled in Python, SQL, and big data technologies like Hadoop and Spark.",Data Engineer,Cervantes-Bowman,azure;c++;django;go;mysql;postgresql;python;react;vue,"Port Amyville, Sudan",5.0,,github.com/maria45,linkedin.com/in/dgordon,,,,BSc
