name,headline,current_title,current_company,skills,location,years_experience,currently_open_to_work,github_handle,profile_url,certifications,open_source_contributor,volunteer_experience,education_level
Candidate-0015,"SummaryDedi100 Montgomery St. 10th Floorted Health 100 Montgomery St. 10th Floorre Administrator at improving team productivity, policies, c",,,excel;go;tableau,,,,,,,,,
Candidate-0016,"Professional SummaryTo obtain a full time opportunity in the area of Information Systems, Database and Business  Administration, Managing bu",,,aws;excel;go;sql;tableau,,6.0,,,,,,,MS
Candidate-0017,Career OverviewTechnically-advanced information technology specialist successful in software administration and data communications. Qualifi,,,c++;excel;git;go;java;javascript;linux;sql,,,,,,,,,MS
Candidate-0018,Professional ProfileSeeking for a challenging position in Software Development Industry to find ways to help the company to grow & grow myse,,,aws;c#;excel;java;mysql;sql,,,,,,,,,MS
Candidate-0019,Professional SummaryJessica started her professional carrier with Accenture in 2007 India and has worked in Accenture as Onshore Coordinator,,,excel;sql,,7.0,,,,,,,Associate
Candidate-0020,Professional SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,go;python;spring,,5.0,,,,,,,Associate
Candidate-0021,SummaryHighly proficient Business Analyst with 5 year experience and technical acumen complemented by extensive project management and CRM e,,,go;java;salesforce;sql,,5.0,,,,,,,MS
Candidate-0022,Professional SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,excel;gcp;go,,,,,,,,,Associate
Candidate-0023,"SummarySeeking an Accountant position that utilizes my technical skills and experience to support accounting operations, and to ensure the c",,,excel;go,,,,,,,,,MS
Candidate-0024,ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,angular;c#;c++;go;java;javascript;linux;postgres;postgresql;rest api;sql,,,,,,,,,MS
Candidate-0025,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,git;go;mongodb;mysql;node.js;python;salesforce;scikit-learn;sql,,,,,,,,,Associate
Candidate-0026,SummarySalesforce Data migration and SQL BI Developer offering 7 years of leading cross-functional teams and completing projects on-time. Se,,,c++;excel;go;mysql;python;salesforce;sql,,7.0,,,,,,,MS
Candidate-0027,"Career OverviewExperienced Data Analyst with extensive skill in Data Modelling, Analysis, and Reporting using SSMS, SSRS, Crystal  Reports,",,,excel,,,,,,,,,
Candidate-0028,"Professional SummaryProactive, performance-driven professional with 10.5  years of experience in IT industry in Investment Banking domain.Pr",,,go;java;javascript;sql,,5.0,,,,,,,MS
Candidate-0029,Professional ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,go,,,,,,,,,MS
Candidate-0030,SummaryExperienced Senior Accountant with over 20 years of experience working in both the private and government sector. Serving as a Senior,,,excel;go,,20.0,,,,,,,
Candidate-0031,"ProfileSkilled, motivated and result-driven Quality Assurance professional with 6+ years of experience in the field of Manual and Automation",,,c++;excel;git;go;java;javascript;jenkins;linux;mysql;sql,,6.0,,,,,,,MS
Candidate-0032,"Professional SummaryYoung professional with hands-on experience analyzing data and model structures for large companies, including the Telec",,,c++;excel;go;java;mysql;python;sql;tableau,,,,,,,,,BS
Candidate-0033,ProfileSecure a position with a well-established organization with a stable environment that will lead to a lasting in the field of Electric,,,git;react,,1.0,,,,,,,
Candidate-0034,"SummaryIncredibly motivated professional with a variety of academic and civilian administrative experience. Possesses analytical, research,",,,go;sql,,,,,,,,,
Candidate-0035,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,c++;go;python,,,,,,,,,Associate
Candidate-0036,SummaryExperienced .NET developer with experience across the Microsoft development stack with a passion for web development and application,,,angular;c#;c++;sql,,3.0,,,,,,,MS
Candidate-0037,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,excel;go;hadoop;java;kafka;machine learning;mysql;pandas;postgres;postgresql;python;scikit-learn;spark;sql;tableau,,,,,,,,,Associate
Candidate-0038,SummaryFlexible accounting professional who adapts seamlessly to constantly evolving accounting processes and technologies. with over 8 year,,,excel;go,,8.0,,,,,,,BS
Candidate-0039,"Professional SummaryEnthusiastic computer engineer eager to contribute to team success through hard work, attention to detail and excellent",,,c#;excel;flask;go;java;javascript;mongodb;node.js;pandas;python;react;scikit-learn;sql;tableau;tensorflow,,5.0,,,,,,,MS
Candidate-0040,Career Overview4+ years of experience in the field of Quality Assurance and corporate  Coordinated with Product Owners to create and priorit,,,go;mysql;sql,,4.0,,,,,,,MS
Candidate-0041,"SummaryTo obtain an entry-level position as an electrical engineer, allowing me to utilize my education and skills while gaining valuable wo",,,c++;excel,,,,,,,,,BS
Candidate-0042,SummaryElectrical  Operation & Maintenance Engineer and dedicated team player with extensive knowledge of electrical engineering concepts an,,,excel;go;react,,,,,,,,,Associate
Candidate-0043,Professional SummaryFinancial Accountant with 3+ years of experience. Possess a B.S. in Accounting and Advanced Accounting/MIS certificates.,,,excel,,3.0,,,,,,,BS
Candidate-0044,"ProfileDedicated Epidemiologist/Data Manager with excellent technical, analytical and communication skills demonstrated by 17 years of exper",,,excel;git;go,,17.0,,,,,,,MS
Candidate-0045,"SummaryVersatile professional looking to transition into the Educational Field as a Teacher Assistant, from a career as a Records and Data C",,,excel;go,,,,,,,,,MS
Candidate-0046,"Professional SummaryAdept at managing budgets, payroll, invoicing and general accounting functions. Instrumental in keeping business operati",,,go,,,,,,,,,
Candidate-0047,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,excel;go,,,,,,,,,BS
Candidate-0048,SummaryVersatile finance and accounting professional with 15 years of experience and proficiencies in financial reporting and analysis. Well,,,aws;git,,15.0,,,,,,,Associate
Candidate-0049,"SummaryManager, Accountant, Project and Safety Manager Results driven, self motivated professional with solid experience in program developm",,,go,,,,,,,,,
Candidate-0050,SummaryEIT certified Engineer and ASTQB Certified QA Professional with extensive Coding Experience in C#. Over 7+ years of experience in IT,,,c#;ci/cd;excel;java;javascript;linux;python;sql;tableau,,7.0,,,,,,,MS
Candidate-0051,SummaryHardworking Senior Accountant proficient in providing cost-effective and accurate accounting. Exceptionally talented at preparing fin,,,aws;excel;go,,,,,,,,,
Candidate-0052,"Summary""Hands on"" , self-motivated technology architect with over 10 years of experience ,deep programming acumen and the ability to rapidly",,,c#;c++;go;java;sql,,10.0,,,,,,,
Candidate-0053,Career OverviewHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track,,,c#;go;java;javascript,,,,,,,,,Associate
Candidate-0054,Summary5+ years of professional experience in Manual Testing and Automation Testing of web-based applications with the purpose of assuring t,,,aws;git;java;javascript;jenkins;mysql;rest api;sql,,5.0,,,,,,,MS
Candidate-0055,Career OverviewHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track,,,c#;go;java;javascript,,,,,,,,,Associate
Candidate-0056,Professional SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,excel;go,,,,,,,,,MS
Candidate-0057,"SummaryHaving achieved a milestone of 7+ years of working as a software quality process manager within the financial software industry, I wo",,,sql,,7.0,,,,,,,
Candidate-0058,"SummaryFinancial Accountant specializing in financial planning, reporting and analysis in both private and public sectors.Well-informed acco",,,excel;go,,,,,,,,,BS
Candidate-0059,Professional SummaryHealthcare Informatics Specialist professional with experience managing enterprise implementations of healthcare informa,,,excel;go,,,,,,,,,MS
Candidate-0060,SummaryDynamic and motivated IT professional with around 7 years of experience as a Big Data Engineer with expertise in designing data inten,,,aws;azure;c++;ci/cd;django;docker;excel;git;go;google cloud;hadoop;java;jenkins;kafka;kubernetes;linux;machine learning;mongodb;mysql;postgres;postgresql;python;spark;sql;tableau;terraform,,7.0,,,,,,,MS
Candidate-0061,Professional SummaryCommitted and motivated Administrative Assistant with exceptional customer service and decision making skills. Strong wo,,,excel;go,,,,,,,,,
Candidate-0062,SummaryObtain a challenging career in Information Technology with an aim to enhance and promote my skills to blend with rapidly growing tech,,,aws;c#;c++;excel;git;go;hadoop;postgres;postgresql;python;sql,,,,,,,,,MS
Candidate-0063,"Professional SummaryTest Automation Manager/Architectwith excellent employee development, customer service and analytics skills coupled with",,,angular;c#;ci/cd;docker;excel;git;go;hadoop;java;javascript;jenkins;kafka;kubernetes;machine learning;python;react;sql,,11.0,,,,,,,MS
Candidate-0064,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,git;go;mongodb;mysql;node.js;python;salesforce;scikit-learn;sql,,,,,,,,,Associate
Candidate-0065,"SummaryFull stack Software Engineer with 8+ years of experience in software industry. Professional, creative, responsible with proven analyt",,,angular;aws;c#;git;go;java;javascript;linux;mysql;node.js;postgres;postgresql;rest api;sql,,8.0,,,,,,,MS
Candidate-0066,Professional SummaryExperienced Information Technology professional; Key strengths include but not limited to systems support in health data,,,aws;excel;java;linux,,,,,,,,,MS
Candidate-0067,"SummaryA results-driven, innovative, energetic professional with extensive experience in the coordination, planning and implementation of pr",,,go,,,,,,,,,PhD
Candidate-0068,"SummarySoftware Developer with overall 3+ years of experience in the development of Web & Enterprise applications using Java, JavaScript, HT",,,angular;git;go;java;javascript;mongodb;mysql;python;spring;sql;tableau,,3.0,,,,,,,
Candidate-0069,"SummaryDedi100 Montgomery St. 10th Floorted Health 100 Montgomery St. 10th Floorre Administrator at improving team productivity, policies, c",,,excel;go;tableau,,,,,,,,,
Candidate-0070,"SummaryI started my construction career in June of 2017 in Jacksonville, Florida as an Electrical Apprentice working full time and attending",,,go;spring,,,,,,,,,
Candidate-0071,"Summarytyee HighlightsMicrosoft Excel, Word, Outlook, Power Point, FileZilla, QuickCap ExperienceData Analyst,09/2015-06/2016Altice Usa–Tyle",,,excel;go,,,,,,,,,
Candidate-0072,"Professional SummaryDetail-driven accounting professional experienced in examining and analyzing accounting records, financial statements, a",,,excel,,,,,,,,,
Candidate-0073,"Professional SummaryYoung professional with hands-on experience analyzing data and model structures for large companies, including the Telec",,,c++;excel;go;java;mysql;python;sql;tableau,,,,,,,,,BS
Candidate-0074,"SummaryCONTACT Detail-oriented professional with excellent communication, interpersonal and creative thinking skills. Aiming to leverage my",,,excel;go,,10.0,,,,,,,MS
Candidate-0075,"SummarySoftware and Web Developer Technically sophisticated software and web development professional, with background in system engineering",,,aws;c#;c++;git;go;java;sql,,,,,,,,,MS
Candidate-0076,"SummaryOver 3 years of professional IT experience inData EngineeringandData Analyticsusing various languages and tools likeSQL, Python, Big/",,,amazon web services;aws;azure;ci/cd;docker;excel;git;go;hadoop;kafka;kubernetes;linux;mysql;postgres;postgresql;python;spark;sql;tableau,,3.0,,,,,,,MS
Candidate-0077,"EducationBachelor of Engineering:Computer Science & Information Technology,Expected in05/2011toSri Krishnadevaraya University-Kurnool, Andhr",,,azure;ci/cd;excel;go;hadoop;kafka;linux;mongodb;python;salesforce;spark;sql,,9.0,,,,,,,MS
Candidate-0078,"Career OverviewDedicated, personable, and motivated secretary/customer service representative. My focus is to maintain customer satisfaction",,,excel;go,,,,,,,,,
Candidate-0079,"Professional ProfileClaire 6.1(CSA) from PegaSystems, Inc. Certified PRPC System Architect with strong Experience in deClaireelopment of Bus",,,c++;go;sql,,3.0,,,,,,,MS
Candidate-0080,SummaryExperienced Senior Accountant with over 5 years of experience providing financial and project support to my accounting department. En,,,go,,5.0,,,,,,,BS
Candidate-0081,"ProfileDedicated [job title] with excellent technical, analytical and communication skills demonstrated by [number] years of experience.Expe",,,excel;go,,20.0,,,,,,,
Candidate-0082,"ProfileSkilled, motivated and result-driven Quality Assurance professional with 6+ years of experience in the field of Manual and Automation",,,c++;excel;git;go;java;javascript;jenkins;linux;mysql;sql,,6.0,,,,,,,MS
Candidate-0083,ProfileActively seeking full time opportunities in computer engineering to build a career in engineering industry and to work with a leading,,,c++;docker;go;java;linux;python,,,,,,,,,MS
Candidate-0084,Summary5+ years of professional experience in Manual Testing and Automation Testing of web-based applications with the purpose of assuring t,,,aws;git;java;javascript;jenkins;mysql;rest api;sql,,5.0,,,,,,,MS
Candidate-0085,"ProfileExperienced Corporate and Software Professional specializing in Data & Analytics, Search and Discovery turning data investments into",,,angular;c++;excel;git;go;hadoop;java;machine learning;mongodb;nodejs;python;ruby;spark;spring,,,,,,,,,PhD
Candidate-0086,"Professional SummaryFemale, 29 years old, Newly-graduate ""Health Information Technologist"" and ""Medical Coding Specialist"" Knowledgeable wit",,,excel;go,,29.0,,,,,,,MS
Candidate-0087,Professional ProfileI am a hard worker and college student with years of experience in learning new skills and am always ready to advance my,,,excel;git;spring,,,,,,,,,
Candidate-0088,"SummaryData Protection Consultant with 10 years of experience with a diverse back-ground in Hyper-converged , storage technologies.Building",,,aws;sql,,10.0,,,,,,,
Candidate-0089,Executive ProfileCapable Accountant successful at managing multiple projects and consistently meeting deadlines under pressure. Extensive kn,,,excel;sql,,5.0,,,,,,,
Candidate-0090,SummaryExperienced Data Analyst who responds to shifting business needs and priorities in a systematic and effective way.  Excels at impleme,,,excel,,,,,,,,,
Candidate-0091,SummaryEIT certified Engineer and ASTQB Certified QA Professional with extensive Coding Experience in C#. Over 7+ years of experience in IT,,,c#;ci/cd;excel;java;javascript;linux;python;sql;tableau,,7.0,,,,,,,MS
Candidate-0092,"SummaryQuality Assurance - Analyst9+ years Tandem based testing/implementation exposure. Talented in analysis, issue resolving and testing n",,,go,,9.0,,,,,,,Associate
Candidate-0093,"SummaryA Senior Data Manager with extensive experience in survey data acquisition and processing, Geographic Information Systems, database d",,,excel;go;java;javascript;linux;mysql;python;sql,,,,,,,,,MS
Candidate-0094,"SummaryFinancial Accountant specializing in financial planning, reporting and analysis in both private and public sectors.Well-informed acco",,,excel;go,,,,,,,,,BS
Candidate-0095,Professional SummaryResults-oriented and innovative Senior Software Engineer with 10+ years of experience. Easily communicates complex techn,,,angular;azure;c#;excel;git;go;java;javascript;mysql;sql,,10.0,,,,,,,
Candidate-0096,SummarySeasoned Data Entry Operator with 5 years of experience building and maintaining electronic databases. Received and reviewed new writ,,,aws;go,,5.0,,,,,,,MS
Candidate-0097,SummaryAdaptable Software Engineer ready to support operations from conception through post-release support. Skilled creator of efficient co,,,excel;go,,18.0,,,,,,,
Candidate-0098,"SummaryI am highly motivated, hardworking individual with over 2 solid years experience in accounting.Results-oriented  skilled in  accounti",,,go;vue,,,,,,,,,MS
Candidate-0099,Professional SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,excel;go,,,,,,,,,Associate
Candidate-0100,Professional SummaryCommitted and motivated Administrative Assistant with exceptional customer service and decision making skills. Strong wo,,,excel;go,,,,,,,,,
Candidate-0101,"Career OverviewSenior data analyst with 8+ years experience in Business/Data Analysis, Data Profiling, Data Mining and Reporting. 8+ years i",,,c++;excel;go;hadoop;java;python;sql;tableau,,8.0,,,,,,,MS
Candidate-0102,"SummaryDedi100 Montgomery St. 10th Floorted Health 100 Montgomery St. 10th Floorre Administrator at improving team productivity, policies, c",,,excel;go;tableau,,,,,,,,,
Candidate-0103,"ProfileTo obtain the position of a Telecommunications/Networking Intern in a reputable organization, with a challenging environment, wherein",,,c++;excel;go;linux;python,,,,,,,,,
Candidate-0104,"Professional SummaryHighly skilled software development professional bringing more than 4 years in software design, development and integrat",,,angular;docker;gcp;git;go;google cloud;java;javascript;k8s;microservices;mongodb;node.js;postgres;postgresql;python;react;redis;spring;sql;tableau;tensorflow;typescript,,4.0,,,,,,,BS
Candidate-0105,"SummaryTo obtain a challenging and rewarding accounting position that will permit the use of my skills, knowledge and education to maximize",,,go,,,,,,,,,Associate
Candidate-0106,"SummaryMotivated accounting professional focused on maintaining accurate, compliant records and controls. Detail-oriented, trustworthy, and",,,excel;go,,,,,,,,,BS
Candidate-0107,"SummaryHighly organized, detail-oriented, and motivated professional with a proven track record of success in various roles, including Accou",,,aws;excel;go,,,,,,,,,
Candidate-0108,"SummaryTo pursue excellence in the dynamic business world by obtaining a placement allowing me to perform in an environment where honesty, s",,,excel;git,,,,,,,,,MS
Candidate-0109,"SummaryFinancial Accountant specializing in financial planning, reporting and analysis in both private and public sectors.Well-informed acco",,,excel;go,,,,,,,,,BS
Candidate-0110,"ProfileAn Engineer-in-Training (E.I.T) with 5+ years of experience together with a MS. (Environmental Engineering) Degree, M.Sc. Chemical an",,,excel,,5.0,,,,,,,MS
Candidate-0111,SummaryDiligent and driven Analyst who has achieved success in a variety of roles with increasing levels of responsibility. An effective com,,,excel;go;hadoop;sql,,,,,,,,,MS
Candidate-0112,ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,go;mysql;sql,,,,,,,,,MS
Candidate-0113,Professional SummaryWith the attitude of learning I am looking for an internship from summer 2017 to gain as much as knowledge as I can and,,,c#;c++;git;go;linux;python;sql,,,,,,,,,BS
Candidate-0114,Professional SummaryCommitted and motivated Administrative Assistant with exceptional customer service and decision making skills. Strong wo,,,excel;go,,,,,,,,,
Candidate-0115,Career OverviewSeeking a job where I can effectively utilize my academic knowledge and learn new skills to continually enhance the developme,,,c#;excel;git;go;sql,,,,,,,,,MS
Candidate-0116,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,excel;go;sql,,,,,,,,,Associate
Candidate-0117,SummaryDetail oriented and team focused epidemiologist with 8 years of experience working as an epidemiologist and statistician for public h,,,excel;sql;tableau,,8.0,,,,,,,PhD
Candidate-0118,ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,angular;c#;c++;go;java;javascript;linux;postgres;postgresql;rest api;sql,,,,,,,,,MS
Candidate-0119,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,excel;go,,10.0,,,,,,,Associate
Candidate-0120,"Professional SummaryDependable, results-driven Data Analyst with extensive experience in collecting, organizing, interpreting, and dissemina",,,azure;excel;git;go;python;sql;tableau,,,,,,,,,MS
Candidate-0121,Professional SummaryWith the attitude of learning I am looking for an internship from summer 2017 to gain as much as knowledge as I can and,,,c#;c++;git;go;linux;python;sql,,,,,,,,,BS
Candidate-0122,Professional ProfileExpert in Functional Testing .6-Year Record of Proven ResultsSenior software QA testerwith full system development life,,,c++;go;linux;sql,,,,,,,,,BS
Candidate-0123,SummaryCERTIFIED SOFTWARE DEVELOPMENT PROFESSIONAL Solutions-driven developer with a multi-year record of highly successful performance in a,,,java;javascript;sql,,,,,,,,,MS
Candidate-0124,"SummaryHighly-motivated employee with desire to take on new challenges. Strong worth ethic, adaptability and exceptional interpersonal skill",,,go,,,,,,,,,BS
Candidate-0125,SummaryDetail oriented and team focused epidemiologist with 8 years of experience working as an epidemiologist and statistician for public h,,,excel;sql;tableau,,8.0,,,,,,,PhD
Candidate-0126,"Professional SummaryFinancial professionalfocused on customer service, efficiency and achievement. Goal-oriented multi-tasker dedicated to m",,,excel;go,,,,,,,,,
Candidate-0127,"Career OverviewExperienced Data Analyst with extensive skill in Data Modelling, Analysis, and Reporting using SSMS, SSRS, Crystal  Reports,",,,excel,,,,,,,,,
Candidate-0128,ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,angular;c#;c++;go;java;javascript;linux;postgres;postgresql;rest api;sql,,,,,,,,,MS
Candidate-0129,"SummaryResults-oriented college graduate with a Bachelor of Science (B.S.) in Electrical Engineering, with 2 years of work experience. Aimin",,,c++;excel;git;go;java;spring,,2.0,,,,,,,BS
Candidate-0130,Professional SummaryTo obtain a challenging position in a dynamic atmosphere where my hard work and capabilities can efficiently utilized to,,,excel;go;java;javascript;jenkins;sql,,7.0,,,,,,,MS
Candidate-0131,"SummarySenior Software Engineer with 6+ years in analysis, design, development, testing and implementation of various Internet-based applica",,,azure;c#;excel;git;go;java;javascript;sql,,6.0,,,,,,,MS
Candidate-0132,"SummarySolution-oriented, results-driven strategic sales executive with a proven track record in generating sales growth and successfully ex",,,aws;go,,3.0,,,,,,,
Candidate-0133,Professional SummaryMulti-faceted Financial Professional with solid and progressive experience in all facets of accounting and financial man,,,aws;excel;git;go,,,,,,,,,
Candidate-0134,"Experience05/2017toPresentPro Customer Experience Technician/ Data AnalystQuantitech–,,H1B Visa Application Data Analysis using R          S",,,go;java;javascript;machine learning;mysql;postgres;postgresql;spring;sql;tableau,,5.0,,,,,,,
Candidate-0135,"SummaryFinancial Accountant specializing in financial planning, reporting and analysis in both private and public sectors.Well-informed acco",,,excel;go,,,,,,,,,BS
Candidate-0136,"Professional SummaryBusiness Intelligence Consultant with a 10-year career in data warehousing, business intelligence reporting, and data ma",,,azure;excel;python;spark;tableau,,,,,,,,,
Candidate-0137,Career OverviewMerrimack College Alumnus possessing a strong aptitude and interest in topics of Mathematics and Finance. Currently employed,,,c#;c++;sql,,,,,,,,,BS
Candidate-0138,"SummaryHighly motivated Electrical Project Engineer with expertise in delivering large, complicated engineering projects in the oil and gas",,,go,,,,,,,,,
Candidate-0139,SummaryTo seek employment as a Project Engineer in my desired field ( Full time / Part Time) HighlightsA competent Project Engineer with exc,,,excel;go,,,,,,,,,MS
Candidate-0140,"Professional ProfileTo secure a position with an organization, where I can utilize my office experience to the fullest. Highly motivated and",,,excel;go,,,,,,,,,
Candidate-0141,"SummaryVisionary and Goal-oriented IT Network Engineer with over 20 years of demonstrated experience in planning, developing, and implementi",,,go,,20.0,,,,,,,
Candidate-0142,"SummaryDigital marketing professional experienced in sales, marketing and account management. Knowledgeable about e-commerce, social media a",,,excel;git;go,,,,,,,,,MS
Candidate-0143,"SummaryFull stack Software Engineer with 8+ years of experience in software industry. Professional, creative, responsible with proven analyt",,,angular;aws;c#;git;go;java;javascript;linux;mysql;node.js;postgres;postgresql;rest api;sql,,8.0,,,,,,,MS
Candidate-0144,"SummaryDetail-oriented and highly organized individual seeking a full-time, accounting position to utilize and apply my educational skills a",,,excel;go,,,,,,,,,
Candidate-0145,Professional ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,c#;c++;docker;git;go;hadoop;java;javascript;jenkins;mongodb;mysql;sql,,,,,,,,,Associate
Candidate-0146,SummaryDiligent accountant with more than 13 years professional experience and proven industry expertise. Extensive knowledge of cost accoun,,,go,,70.0,,,,,,,
Candidate-0147,SummaryTo obtain a challenging position in the field of computer science and to and apply my analytical and technical skill sets to practice,,,git;go;java;javascript;linux;mysql;postgres;postgresql;python;spring;sql,,5.0,,,,,,,MS
Candidate-0148,"SummaryEnergetic and PersonableAdministrative Assistantwith 5 years experience in high-level executive support roles, who maintains open lin",,,excel;go,,5.0,,,,,,,MS
Candidate-0149,SummaryEmployed by the U.S. Navy as a Civilian Electrical Engineer/Customer Advocate for 33 years.  The first 6.5 years were spent working a,,,go,,33.0,,,,,,,
Candidate-0150,"SummaryMotivatedSoftware Developerseeks employment as part of a dynamic software development team. Fluent in C, C++, HTML, and JavaScript wi",,,c++;go;java;javascript;python,,,,,,,,,BS
Candidate-0151,"SummaryRecent graduate from Nucamp Coding Bootcamp with excellent research, technical and problem-solving skills. Detail-oriented and able t",,,aws;azure;django;excel;flask;git;go;google cloud;java;microservices;postgres;postgresql;python;spring;sql,,,,,,,,,
Candidate-0152,"HighlightsProficient inObjective - CJavaC/C++Prior experienced inJavaScriptHTMLPHP EducationMaster of Science:Computer Science,Expected in20",,,c++;java;javascript;sql,,,,,,,,,BS
Candidate-0153,QUALIFICATIONS•   Over two years' experience of data analysis at Loyola Chicago University; providing statistical analysis plan and generati,,,excel;go;sql,,,,,,,,,MS
Candidate-0154,Career OverviewQuality focused SQL Data Analyst with an analytical mindset and natural problem solving abilities seeks employment as part of,,,excel;go;mysql;sql,,,,,,,,,MS
Candidate-0155,"ExperienceSoftware Developer,01/1995-Adobe Systems Incorporated–Emeryville,CA,Designing and programming the ZZZ++ software library for distr",,,azure;c#;c++;excel;go;java;javascript;linux;mongodb;mysql;python;sql,,23.0,,,,,,,MS
Candidate-0156,SummaryHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with track record,,,angular;git;go;java;javascript;linux;mysql;node.js;nodejs;sql,,,,,,,,,Associate
Candidate-0157,"SummarySoftware Developer with overall 3+ years of experience in the development of Web & Enterprise applications using Java, JavaScript, HT",,,angular;git;go;java;javascript;mongodb;mysql;python;spring;sql;tableau,,3.0,,,,,,,
Candidate-0158,Summary5+ years experience in development of Web and Enterprise applications using JAVA/J2EE Technologies. Experience with full life cycle o,,,java;javascript;mysql;spring;sql,,5.0,,,,,,,MS
Candidate-0159,SummarySeasoned Data Entry Operator with 5 years of experience building and maintaining electronic databases. Received and reviewed new writ,,,aws;go,,5.0,,,,,,,MS
Candidate-0160,"ProfileTo obtain the position of a Telecommunications/Networking Intern in a reputable organization, with a challenging environment, wherein",,,c++;excel;go;linux;python,,,,,,,,,
Candidate-0161,"SummarySkilled in high profile account management; knowledgeable in team building, oral and written presentation, and interpersonal communic",,,git;go;salesforce,,,,,,,,,Associate
Candidate-0162,Professional ProfileHighly motivated Sales Associate with extensive customer service and sales experience. Outgoing sales professional with,,,c#;c++;docker;git;go;hadoop;java;javascript;jenkins;mongodb;mysql;sql,,,,,,,,,Associate
